Round,Company Name,Eligibility,Required Activity,Submitted Activity,Requested Commitment,Processed Activity,Commitment,Eligibility Next Round,Activity Rule
3,Novus,2110,1899,2110,6971000,2110,6337000,2110,0.9
3,Bell,73282,65954,71428,246051400,71428,224556600,73282,0.900002729
4,Huron Tel,300,270,300,1310000,300,1310000,300,0.9
4,NE&W SPC,3349,3015,3180,12769000,3345,13038000,3349,0.900268737
4,Rogers,57219,51498,57193,199237100,57193,182240200,57219,0.900015729
4,Indigitel,8,8,8,28000,8,24000,8,1
4,Brooke Telecom,40,36,40,170000,40,170000,40,0.9
4,Cooptel,144,130,134,500000,134,453000,144,0.902777778
4,Kingston Online,36,33,36,161600,36,161600,36,0.916666667
4,NWIC,24,22,22,84000,22,74000,24,0.916666667
4,Bruce Telecom,200,180,190,759000,190,759000,200,0.9
4,SaskTel,1040,936,1040,3385000,1040,3085000,1040,0.9
4,ABC Internet,72,65,66,260300,66,234000,72,0.902777778
4,Ecotel,125,113,102,329000,103,307100,114,0.904
4,MPVWIFI,1,1,1,3300,1,3000,1,1
4,Bragg,3388,3050,3050,10816800,3050,9762900,3388,0.900236128
4,Elite General,48477,43630,27780,99409000,43630,140813000,48477,0.90001444
4,TELUS,112604,101344,111828,390914000,111829,356835700,112604,0.900003552
4,City West,150,135,150,480000,150,449700,150,0.9
4,Tbaytel,239,216,236,932800,236,931000,239,0.90376569
4,Vidéotron,88506,79656,74647,258268300,80127,253541200,88506,0.900006779
4,Sogetel,1333,1200,1222,4250000,1332,4280000,1333,0.900225056
4,Novus,2110,1899,2110,6971000,2110,6337000,2110,0.9
4,Bell,73282,65954,71428,247381600,71428,225737800,73282,0.900002729
5,Huron Tel,300,270,300,1445000,300,1445000,300,0.9
5,NE&W SPC,3349,3015,3151,13684000,3331,14016000,3349,0.900268737
5,Rogers,57219,51498,57193,200852100,57193,183805200,57219,0.900015729
5,Indigitel,8,8,8,28000,8,24000,8,1
5,Brooke Telecom,40,36,40,188000,40,188000,40,0.9
5,Cooptel,144,130,134,506000,134,459000,144,0.902777778
5,Kingston Online,36,33,36,184000,36,184000,36,0.916666667
5,NWIC,24,22,22,84000,22,74000,24,0.916666667
5,Bruce Telecom,200,180,190,838000,190,838000,200,0.9
5,SaskTel,1040,936,1040,3410000,1040,3100000,1040,0.9
5,ABC Internet,72,65,66,266300,66,234000,72,0.902777778
5,Ecotel,114,103,102,345000,103,323100,114,0.903508772
5,MPVWIFI,1,1,1,3300,1,3000,1,1
5,Bragg,3388,3050,3050,10816800,3050,9762900,3388,0.900236128
5,Elite General,48477,43630,27780,100773000,43630,142177000,48477,0.90001444
5,TELUS,112604,101344,111828,393112000,111829,358937700,112604,0.900003552
5,City West,150,135,150,504000,150,473700,150,0.9
5,Tbaytel,239,216,236,1032800,236,1031000,239,0.90376569
5,Vidéotron,88506,79656,74687,259320100,80127,254421000,88506,0.900006779
5,Sogetel,1333,1200,1212,4277000,1292,4191000,1333,0.900225056
5,Novus,2110,1899,2110,6971000,2110,6337000,2110,0.9
5,Bell,73282,65954,71428,248676200,71428,226978400,73282,0.900002729
6,Huron Tel,300,270,300,1600000,300,1600000,300,0.9
6,NE&W SPC,3349,3015,3131,14729000,3311,15033000,3349,0.900268737
6,Rogers,57219,51498,57193,202591100,57193,185502200,57219,0.900015729
6,Indigitel,8,8,8,28000,8,24000,8,1
6,Brooke Telecom,40,36,40,208000,40,208000,40,0.9
6,Cooptel,144,130,134,512000,134,465000,144,0.902777778
6,Kingston Online,36,33,36,208000,36,208000,36,0.916666667
6,NWIC,24,22,22,84000,22,74000,24,0.916666667
6,Bruce Telecom,200,180,190,928000,190,928000,200,0.9
6,SaskTel,1040,936,1040,3425000,1040,3115000,1040,0.9
6,ABC Internet,72,65,66,274300,66,234000,72,0.902777778
6,Ecotel,114,103,102,361000,103,339100,114,0.903508772
6,MPVWIFI,1,1,1,3300,1,3000,1,1
6,Bragg,3388,3050,3050,10816800,3050,9762900,3388,0.900236128
6,Elite General,48477,43630,27780,102290000,43630,143694000,48477,0.90001444
6,TELUS,112604,101344,111829,395457000,111829,361207700,112604,0.900003552
6,City West,150,135,150,532000,150,501700,150,0.9
6,Tbaytel,239,216,236,1145800,236,1144000,239,0.90376569
6,Vidéotron,88506,79656,74637,260003100,80077,255104000,88506,0.900006779
6,Sogetel,1333,1200,1212,4337000,1292,4251000,1333,0.900225056
6,Novus,2110,1899,2110,6971000,2110,6337000,2110,0.9
6,Bell,73282,65954,71428,250043200,71428,228310400,73282,0.900002729
7,Huron Tel,300,270,300,1770000,300,1770000,300,0.9
7,NE&W SPC,3349,3015,3131,15934000,3311,16266000,3349,0.900268737
7,Rogers,57219,51498,57193,204441100,57193,187364200,57219,0.900015729
7,Indigitel,8,8,8,28000,8,24000,8,1
7,Brooke Telecom,40,36,40,230000,40,230000,40,0.9
7,Cooptel,144,130,134,518000,134,516000,144,0.902777778
7,Kingston Online,36,33,36,232000,36,232000,36,0.916666667
7,NWIC,24,22,22,84000,22,74000,24,0.916666667
7,Bruce Telecom,200,180,190,1026000,190,1026000,200,0.9
7,SaskTel,1040,936,1040,3445000,1040,3135000,1040,0.9
7,ABC Internet,72,65,66,282300,66,234000,72,0.902777778
7,Ecotel,114,103,98,351800,99,329100,110,0.903508772
7,MPVWIFI,1,1,1,3300,1,3000,1,1
7,Bragg,3388,3050,3050,10816800,3050,9762900,3388,0.900236128
7,Elite General,48477,43630,27120,100554000,42970,141829000,47744,0.90001444
7,TELUS,112604,101344,111829,397914000,111829,363536700,112604,0.900003552
7,City West,150,135,149,445700,149,399700,150,0.9
7,Tbaytel,239,216,236,1263800,236,1262000,239,0.90376569
7,Vidéotron,88506,79656,74812,261751100,80252,256848000,88506,0.900006779
7,Sogetel,1333,1200,1212,4397000,1234,4140000,1333,0.900225056
7,Novus,2110,1899,2110,6971000,2110,6337000,2110,0.9
7,Bell,73282,65954,71790,253414200,71790,231577400,73282,0.900002729
8,Huron Tel,300,270,300,1955000,300,1955000,300,0.9
8,NE&W SPC,3349,3015,3131,17291000,3311,17623000,3349,0.900268737
8,Rogers,57219,51498,57193,206485100,57193,189399200,57219,0.900015729
8,Indigitel,8,8,8,28000,8,24000,8,1
8,Brooke Telecom,40,36,40,254000,40,254000,40,0.9
8,Cooptel,144,130,134,569000,134,567000,144,0.902777778
8,Kingston Online,36,33,36,260000,36,260000,36,0.916666667
8,NWIC,24,22,22,84000,22,74000,24,0.916666667
8,Bruce Telecom,200,180,190,1135000,190,1135000,200,0.9
8,SaskTel,1040,936,1040,3465000,1040,3155000,1040,0.9
8,ABC Internet,72,65,66,290300,66,234000,72,0.902777778
8,Ecotel,110,99,98,363800,99,341100,110,0.9
8,MPVWIFI,1,1,1,3300,1,3000,1,1
8,Bragg,3388,3050,3050,10816800,3050,9762900,3388,0.900236128
8,Elite General,47744,42970,27120,101893000,42970,143148000,47744,0.900008378
8,TELUS,112604,101344,111829,400456000,111829,366098700,112604,0.900003552
8,City West,150,135,149,449700,149,403700,150,0.9
8,Tbaytel,239,216,236,1404800,236,1403000,239,0.90376569
8,Vidéotron,88506,79656,74634,261887100,80074,257000000,88506,0.900006779
8,Sogetel,1333,1200,1242,4525000,1314,4448000,1333,0.900225056
8,Novus,2110,1899,2110,6971000,2110,6337000,2110,0.9
8,Bell,73282,65954,71425,252953200,71425,231112400,73282,0.900002729
9,Huron Tel,300,285,300,2155000,300,2155000,300,0.95
9,NE&W SPC,3349,3182,3156,18724000,3336,19056000,3349,0.950134368
9,Rogers,57219,54359,57193,208709100,57193,192045200,57219,0.950016603
9,Indigitel,8,8,8,28000,8,24000,8,1
9,Brooke Telecom,40,38,40,280000,40,280000,40,0.95
9,Cooptel,144,137,137,653000,137,653000,144,0.951388889
9,Kingston Online,36,35,34,269000,34,269000,35,0.972222222
9,NWIC,24,23,22,84000,22,78000,23,0.958333333
9,Bruce Telecom,200,190,160,1043000,160,1043000,168,0.95
9,SaskTel,1040,988,1040,3490000,1040,3180000,1040,0.95
9,ABC Internet,72,69,69,321300,69,255000,72,0.958333333
9,Ecotel,110,105,92,333800,93,311100,97,0.954545455
9,MPVWIFI,1,1,1,3300,1,3000,1,1
9,Bragg,3388,3219,3050,10816800,3050,9790900,3210,0.950118064
9,Elite General,47744,45357,28287,108032000,44137,149331000,46460,0.950004189
9,TELUS,112604,106974,111829,403292000,111829,369576700,112604,0.950001776
9,City West,150,143,149,454700,149,408700,150,0.953333333
9,Tbaytel,239,228,226,1421300,226,1419000,237,0.953974895
9,Vidéotron,88506,84081,77098,275989100,82538,271244000,86882,0.95000339
9,Sogetel,1333,1267,1268,4815000,1318,4728000,1333,0.950487622
9,Novus,2110,2005,2110,6971000,2110,6337000,2110,0.950236967
9,Bell,73282,69618,71425,254583200,71425,233034400,73282,0.950001365
10,Huron Tel,300,285,300,2375000,300,2325000,300,0.95
10,NE&W SPC,3349,3182,3156,20355000,3336,20687000,3349,0.950134368
10,Rogers,57219,54359,57193,211618100,57193,194864200,57219,0.950016603
10,Indigitel,8,8,8,28000,8,24000,8,1
10,Brooke Telecom,40,38,40,308000,40,308000,40,0.95
10,Cooptel,144,137,137,724000,137,724000,144,0.951388889
10,Kingston Online,35,34,32,278000,32,278000,33,0.971428571
10,NWIC,23,22,22,88000,22,82000,23,0.956521739
10,Bruce Telecom,168,160,160,1150000,160,1150000,168,0.952380952
10,SaskTel,1040,988,1010,3260000,1010,2950000,1040,0.95
10,ABC Internet,72,69,69,334300,69,258000,72,0.958333333
10,Ecotel,97,93,89,321800,90,299100,94,0.958762887
10,MPVWIFI,1,1,1,3300,1,3000,1,1
10,Bragg,3210,3050,3034,10773800,3034,9747900,3193,0.950155763
10,Elite General,46460,44137,28287,110171000,44137,151470000,46460,0.95
10,TELUS,112604,106974,111829,407090000,111829,373274700,112604,0.950001776
10,City West,150,143,149,459700,149,413700,150,0.953333333
10,Tbaytel,237,226,221,1453300,221,1448000,232,0.953586498
10,Vidéotron,86882,82538,76286,274897100,81726,270152000,86027,0.950001151
10,Sogetel,1333,1267,1268,5048000,1318,4961000,1333,0.950487622
10,Novus,2110,2005,2110,6971000,2110,6337000,2110,0.950236967
10,Bell,73282,69618,71425,256687200,71425,235088400,73282,0.950001365
11,Huron Tel,300,285,300,2560000,300,2510000,300,0.95
11,NE&W SPC,3349,3182,2912,20460000,3092,20792000,3254,0.950134368
11,Rogers,57219,54359,57188,214671100,57188,197383400,57219,0.950016603
11,Indigitel,8,8,8,28000,8,24000,8,1
11,Brooke Telecom,40,38,40,340000,40,340000,40,0.95
11,Cooptel,144,137,137,798000,137,798000,144,0.951388889
11,Kingston Online,33,32,30,284000,30,284000,31,0.96969697
11,NWIC,23,22,22,92000,22,86000,23,0.956521739
11,Bruce Telecom,168,160,130,1013000,130,1013000,136,0.952380952
11,SaskTel,1040,988,1010,3260000,1010,2950000,1040,0.95
11,ABC Internet,72,69,69,349300,69,261000,72,0.958333333
11,Ecotel,94,90,86,322400,90,299100,94,0.957446809
11,MPVWIFI,1,1,1,3300,1,3000,1,1
11,Bragg,3193,3034,3050,10876800,3050,9850900,3193,0.95020357
11,Elite General,46460,44137,28046,110600000,43896,151751400,46206,0.95
11,TELUS,112604,106974,111829,411154000,111829,376494300,112604,0.950001776
11,City West,150,143,149,465700,149,419700,150,0.953333333
11,Tbaytel,232,221,206,1411800,206,1405000,216,0.952586207
11,Vidéotron,86027,81726,76304,277765100,81744,272840400,86027,0.950004068
11,Sogetel,1333,1267,1302,5627000,1332,5434000,1333,0.950487622
11,Novus,2110,2005,2110,6971000,2110,6337000,2110,0.950236967
11,Bell,73282,69618,71425,258960200,71425,236898800,73282,0.950001365
12,Huron Tel,300,285,210,1933000,210,1883000,221,0.95
12,NE&W SPC,3254,3092,2647,19928000,2827,20260000,2975,0.95021512
12,Rogers,57219,54359,57188,217508100,57188,200168400,57219,0.950016603
12,Indigitel,8,8,8,28000,8,24000,8,1
12,Brooke Telecom,40,38,40,374000,40,374000,40,0.95
12,Cooptel,144,137,137,837000,137,882000,144,0.951388889
12,Kingston Online,31,30,28,288000,28,288000,29,0.967741935
12,NWIC,23,22,22,98000,22,92000,23,0.956521739
12,Bruce Telecom,136,130,130,1119000,130,1119000,136,0.955882353
12,SaskTel,1040,988,1010,3260000,1010,2950000,1040,0.95
12,ABC Internet,72,69,69,364300,69,264000,72,0.958333333
12,Ecotel,94,90,89,330800,90,299100,94,0.957446809
12,MPVWIFI,1,1,1,3300,1,3000,1,1
12,Bragg,3193,3034,3050,10912800,3050,9886900,3193,0.95020357
12,Elite General,46206,43896,28046,112848000,43896,153995400,46206,0.950006493
12,TELUS,112604,106974,111829,414722000,111829,380012300,112604,0.950001776
12,City West,150,143,149,471700,149,425700,150,0.953333333
12,Tbaytel,216,206,179,1253000,179,1245000,188,0.953703704
12,Vidéotron,86027,81726,76280,280543100,81720,275602400,86021,0.950004068
12,Sogetel,1333,1267,1276,5754000,1332,5680000,1333,0.950487622
12,Novus,2110,2005,2110,6971000,2110,6337000,2110,0.950236967
12,Bell,73282,69618,71425,260956200,71425,238866800,73282,0.950001365
13,Huron Tel,221,210,210,2074000,210,2024000,221,0.950226244
13,NE&W SPC,2975,2827,2432,19288000,2612,19620000,2749,0.950252101
13,Rogers,57219,54359,57193,220616100,57193,203373400,57219,0.950016603
13,Indigitel,8,8,8,28000,8,24000,8,1
13,Brooke Telecom,40,38,0,0,0,0,0,0.95
13,Cooptel,144,137,137,976000,137,976000,144,0.951388889
13,Kingston Online,29,28,28,320000,28,320000,29,0.965517241
13,NWIC,23,22,22,104000,22,98000,23,0.956521739
13,Bruce Telecom,136,130,130,1232000,130,1232000,136,0.955882353
13,SaskTel,1040,988,1010,3260000,1010,2950000,1040,0.95
13,ABC Internet,72,69,69,381300,69,267000,72,0.958333333
13,Ecotel,94,90,89,330800,90,299100,94,0.957446809
13,MPVWIFI,1,1,1,3300,1,3000,1,1
13,Bragg,3193,3034,2986,10560800,2986,9534900,3143,0.95020357
13,Elite General,46206,43896,27956,114754000,43806,155901400,46111,0.950006493
13,TELUS,112604,106974,111829,418581000,111829,383911300,112604,0.950001776
13,City West,150,143,144,412000,144,365700,150,0.953333333
13,Tbaytel,188,179,179,1373000,179,1365000,188,0.95212766
13,Vidéotron,86021,81720,76154,281713100,81594,276788400,85888,0.950000581
13,Sogetel,1333,1267,1081,5270000,1331,5822000,1333,0.950487622
13,Novus,2110,2005,2110,6971000,2110,6337000,2110,0.950236967
13,Bell,73282,69618,71787,266414200,71787,244346800,73282,0.950001365
14,Huron Tel,221,210,210,2231000,210,2181000,221,0.950226244
14,NE&W SPC,2749,2612,2402,20620000,2582,20952000,2717,0.950163696
14,Rogers,57219,54359,57193,224075100,57193,206766400,57219,0.950016603
14,Indigitel,8,8,8,28000,8,24000,8,1
14,Brooke Telecom,0,0,0,0,0,0,0,1
14,Cooptel,144,137,137,1140000,137,1118000,144,0.951388889
14,Kingston Online,29,28,28,352000,28,352000,29,0.965517241
14,NWIC,23,22,22,110000,22,104000,23,0.956521739
14,Bruce Telecom,136,130,100,1020000,100,1020000,105,0.955882353
14,SaskTel,1040,988,1010,3260000,1010,2950000,1040,0.95
14,ABC Internet,72,69,69,401300,69,271000,72,0.958333333
14,Ecotel,94,90,89,330800,90,299100,94,0.957446809
14,MPVWIFI,1,1,1,3300,1,3000,1,1
14,Bragg,3143,2986,2986,10560800,2986,9534900,3143,0.950047725
14,Elite General,46111,43806,27956,117385000,43806,158499400,46111,0.950011928
14,TELUS,112604,106974,111829,422856000,111829,388076300,112604,0.950001776
14,City West,150,143,144,412000,144,365700,150,0.953333333
14,Tbaytel,188,179,34,99000,34,90000,35,0.95212766
14,Vidéotron,85888,81594,76138,285082100,81598,280241400,85888,0.950004657
14,Sogetel,1333,1267,1171,5948000,1331,6147000,1333,0.950487622
14,Novus,2110,2005,2110,6971000,2110,6337000,2110,0.950236967
14,Bell,73282,69618,71787,269137200,71787,247069800,73282,0.950001365
15,Huron Tel,221,210,180,2032000,180,2032000,189,0.950226244
15,NE&W SPC,2717,2582,2295,20993000,2475,21325000,2605,0.950312845
15,Rogers,57219,54359,57193,227834100,57193,210487400,57219,0.950016603
15,Indigitel,8,8,8,28000,8,24000,8,1
15,Brooke Telecom,0,0,0,0,0,0,0,1
15,Cooptel,144,137,137,1163000,137,1213000,144,0.951388889
15,Kingston Online,29,28,0,0,0,0,0,0.965517241
15,NWIC,23,22,22,118000,22,112000,23,0.956521739
15,Bruce Telecom,105,100,100,1125000,100,1125000,105,0.952380952
15,SaskTel,1040,988,1010,3260000,1010,2950000,1040,0.95
15,ABC Internet,72,69,69,389100,69,242000,72,0.958333333
15,Ecotel,94,90,89,330800,90,299100,94,0.957446809
15,MPVWIFI,1,1,1,3300,1,3000,1,1
15,Bragg,3143,2986,2986,10560800,2986,9534900,3143,0.950047725
15,Elite General,46111,43806,27956,120282000,43806,161396400,46111,0.950011928
15,TELUS,112604,106974,111829,427465000,111829,392657300,112604,0.950001776
15,City West,150,143,144,412000,144,365700,150,0.953333333
15,Tbaytel,35,34,34,99000,34,90000,35,0.971428571
15,Vidéotron,85888,81594,76118,288352100,81558,283338400,85850,0.950004657
15,Sogetel,1333,1267,1071,6010000,1331,6508000,1333,0.950487622
15,Novus,2110,2005,2110,6971000,2110,6337000,2110,0.950236967
15,Bell,73282,69618,71787,272168200,71787,250051800,73282,0.950001365
16,Huron Tel,189,180,180,2240000,180,2240000,189,0.952380952
16,NE&W SPC,2605,2475,1965,18367000,2145,18699000,2257,0.950095969
16,Rogers,57219,54359,57193,231891100,57193,214580400,57219,0.950016603
16,Indigitel,8,8,8,28000,8,24000,8,1
16,Brooke Telecom,0,0,0,0,0,0,0,1
16,Cooptel,144,137,137,835000,137,835000,144,0.951388889
16,Kingston Online,0,0,0,0,0,0,0,1
16,NWIC,23,22,22,126000,22,120000,23,0.956521739
16,Bruce Telecom,105,100,100,1240000,100,1240000,105,0.952380952
16,SaskTel,1040,988,1010,3260000,1010,2950000,1040,0.95
16,ABC Internet,72,69,69,267200,69,242000,72,0.958333333
16,Ecotel,94,90,89,330800,90,299100,94,0.957446809
16,MPVWIFI,1,1,1,3300,1,3000,1,1
16,Bragg,3143,2986,2986,10560800,2986,9534900,3143,0.950047725
16,Elite General,46111,43806,27956,123439000,43806,164586400,46111,0.950011928
16,TELUS,112604,106974,111829,432463000,111829,397803300,112604,0.950001776
16,City West,150,143,144,412000,144,365700,150,0.953333333
16,Tbaytel,35,34,34,99000,34,90000,35,0.971428571
16,Vidéotron,85850,81558,75318,281720100,80758,276756400,85008,0.950005824
16,Sogetel,1333,1267,1041,6004000,1301,6608000,1333,0.950487622
16,Novus,2110,2005,2110,6971000,2110,6337000,2110,0.950236967
16,Bell,73282,69618,71779,275347200,71779,253214800,73282,0.950001365
17,Huron Tel,189,180,150,2015000,150,2015000,157,0.952380952
17,NE&W SPC,2257,2145,1945,19631000,2125,19935000,2236,0.950376606
17,Rogers,57219,54359,57193,236434100,57193,218939400,57219,0.950016603
17,Indigitel,8,8,8,28000,8,24000,8,1
17,Brooke Telecom,0,0,0,0,0,0,0,1
17,Cooptel,144,137,137,926000,137,890000,144,0.951388889
17,Kingston Online,0,0,0,0,0,0,0,1
17,NWIC,23,22,12,48000,12,42000,12,0.956521739
17,Bruce Telecom,105,100,100,1365000,100,1365000,105,0.952380952
17,SaskTel,1040,988,1010,3260000,1010,2950000,1040,0.95
17,ABC Internet,72,69,69,267200,69,242000,72,0.958333333
17,Ecotel,94,90,89,330800,90,299100,94,0.957446809
17,MPVWIFI,1,1,1,3300,1,3000,1,1
17,Bragg,3143,2986,2986,10560800,2986,9534900,3143,0.950047725
17,Elite General,46111,43806,27616,121999000,43466,162970400,45753,0.950011928
17,TELUS,112604,106974,111829,438162000,111829,403102300,112604,0.950001776
17,City West,150,143,144,412000,144,365700,150,0.953333333
17,Tbaytel,35,34,34,99000,34,90000,35,0.971428571
17,Vidéotron,85008,80758,75099,282912100,80539,277856400,84777,0.950004705
17,Sogetel,1333,1267,1041,6443000,1301,7047000,1333,0.950487622
17,Novus,2110,2005,2110,6971000,2110,6337000,2110,0.950236967
17,Bell,73282,69618,71779,278930200,71779,256713800,73282,0.950001365
18,Huron Tel,157,150,150,2220000,150,2220000,157,0.955414013
18,NE&W SPC,2236,2125,1918,20824000,2098,21128000,2208,0.950357782
18,Rogers,57219,54359,57188,241095100,57188,223408400,57219,0.950016603
18,Indigitel,8,8,8,28000,8,24000,8,1
18,Brooke Telecom,0,0,0,0,0,0,0,1
18,Cooptel,144,137,137,982000,137,946000,144,0.951388889
18,Kingston Online,0,0,0,0,0,0,0,1
18,NWIC,12,12,12,48000,12,42000,12,1
18,Bruce Telecom,105,100,100,1505000,100,1505000,105,0.952380952
18,SaskTel,1040,988,1010,3260000,1010,2950000,1040,0.95
18,ABC Internet,72,69,69,267200,69,242000,72,0.958333333
18,Ecotel,94,90,89,330800,90,299100,94,0.957446809
18,MPVWIFI,1,1,1,3300,1,3000,1,1
18,Bragg,3143,2986,2986,10560800,2986,9534900,3143,0.950047725
18,Elite General,45753,43466,27616,125166000,43466,166137400,45753,0.950014207
18,TELUS,112604,106974,111829,443954000,111829,408654300,112604,0.950001776
18,City West,150,143,144,412000,144,365700,150,0.953333333
18,Tbaytel,35,34,34,99000,34,90000,35,0.971428571
18,Vidéotron,84777,80539,74528,280721100,79968,275497400,84176,0.950010026
18,Sogetel,1333,1267,1066,7139000,1326,7743000,1333,0.950487622
18,Novus,2110,2005,2110,6971000,2110,6337000,2110,0.950236967
18,Bell,73282,69618,71779,282737200,71779,260520800,73282,0.950001365
19,Huron Tel,157,150,150,2450000,150,2450000,157,0.955414013
19,NE&W SPC,2208,2098,1821,20919000,2001,21169000,2106,0.950181159
19,Rogers,57219,54359,57188,246116100,57188,228005400,57219,0.950016603
19,Indigitel,8,8,8,28000,8,24000,8,1
19,Brooke Telecom,0,0,0,0,0,0,0,1
19,Cooptel,144,137,137,1045000,137,979000,144,0.951388889
19,Kingston Online,0,0,0,0,0,0,0,1
19,NWIC,12,12,12,48000,12,42000,12,1
19,Bruce Telecom,105,100,100,1660000,100,1660000,105,0.952380952
19,SaskTel,1040,988,1010,3260000,1010,2950000,1040,0.95
19,ABC Internet,72,69,69,267200,69,242000,72,0.958333333
19,Ecotel,94,90,89,330800,90,299100,94,0.957446809
19,MPVWIFI,1,1,1,3300,1,3000,1,1
19,Bragg,3143,2986,2986,10560800,2986,9534900,3143,0.950047725
19,Elite General,45753,43466,27466,127302000,43316,168031400,45595,0.950014207
19,TELUS,112604,106974,111829,450072000,111829,414032300,112604,0.950001776
19,City West,150,143,144,412000,144,365700,150,0.953333333
19,Tbaytel,35,34,34,99000,34,90000,35,0.971428571
19,Vidéotron,84176,79968,73841,271617100,79281,266262400,83453,0.950009504
19,Sogetel,1333,1267,1008,6471000,1268,7038000,1333,0.950487622
19,Novus,2110,2005,2110,6971000,2110,6337000,2110,0.950236967
19,Bell,73282,69618,71740,286280200,71740,263841800,73282,0.950001365
20,Huron Tel,157,150,130,2334000,130,2334000,136,0.955414013
20,NE&W SPC,2106,2001,1724,20746000,1904,20996000,2004,0.95014245
20,Rogers,57219,54359,57144,250185100,57144,231600400,57219,0.950016603
20,Indigitel,8,8,8,28000,8,24000,8,1
20,Brooke Telecom,0,0,0,0,0,0,0,1
20,Cooptel,144,137,137,1079000,137,1013000,144,0.951388889
20,Kingston Online,0,0,0,0,0,0,0,1
20,NWIC,12,12,12,48000,12,42000,12,1
