Round,Status,Start,End,Product Number,Service Area Name,Start Price,Clock Price,Posted Price,Supply,Aggregate Demand
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-064-0,Baie-Comeau,22000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-065-0,Port-Cartier / Sept-Îles,24000,,,25,26
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-066-0,Chibougamau,23000,,,5,14
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-066-1,Chibougamau,2000,,,20,9
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-067-0,Cornwall,36000,,,25,34
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-068-0,Brockville,36000,,,25,38
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-069-0,Gananoque,7000,,,25,43
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-070-0,Kingston,115000,,,25,35
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-071-0,Napanee,22000,,,25,39
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-072-0,Belleville,101000,,,25,40
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-073-0,Cobourg,33000,,,25,42
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-074-0,Peterborough,108000,,,25,37
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-075-0,Lindsay,23000,,,25,28
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-076-0,Minden,11000,,,25,22
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-077-0,Toronto,16311000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-078-0,Alliston,66000,,,25,36
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-079-0,Guelph / Kitchener,460000,,,25,26
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-080-0,Fergus,15000,,,25,36
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-081-0,Kincardine,95000,,,5,29
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-081-1,Kincardine,55000,,,20,16
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-082-0,Listowel / Goderich,43000,,,25,32
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-083-0,Fort Erie,16000,,,25,23
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-084-0,Niagara / St. Catharines,227000,,,25,28
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-085-0,Haldimand / Dunnville,19000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-086-0,London / Woodstock / St. Thomas,441000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-087-0,Brantford,90000,,,25,29
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-088-0,Stratford,26000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-089-0,Chatham,35000,,,25,34
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-090-0,Windsor / Leamington,261000,,,25,32
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-091-0,Wallaceburg,16000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-092-0,Sarnia,63000,,,25,39
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-093-0,Strathroy,24000,,,25,25
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-094-0,Barrie,229000,,,25,25
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-095-0,Midland,25000,,,25,28
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-096-0,Gravenhurst / Bracebridge,32000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-097-0,North Bay,53000,,,5,19
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-097-1,North Bay,7000,,,20,5
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-098-0,Parry Sound,11000,,,5,15
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-098-1,Parry Sound,9000,,,20,5
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-099-0,Elliot Lake,15000,,,25,19
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-100-0,Sudbury,116000,,,25,28
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-101-0,Kirkland Lake,17000,,,25,24
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-102-0,Timmins,21000,,,25,28
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-103-0,Kapuskasing,19000,,,5,9
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-103-1,Kapuskasing,14000,,,20,5
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-104-0,Kenora / Sioux Lookout,33000,,,5,18
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-104-1,Kenora / Sioux Lookout,4000,,,20,9
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-105-0,Iron Bridge,10000,,,5,17
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-105-1,Iron Bridge,6000,,,20,10
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-106-0,Sault Ste. Marie,41000,,,25,15
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-107-0,Marathon,13000,,,5,20
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-107-1,Marathon,3000,,,20,9
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-108-0,Thunder Bay,79000,,,5,20
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-108-1,Thunder Bay,2000,,,20,5
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-109-0,Fort Frances,10000,,,5,20
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-109-1,Fort Frances,1000,,,20,5
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-110-0,Steinbach,33000,,,25,30
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-111-0,Winnipeg,540000,,,25,22
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-112-0,Lac du Bonnet,30000,,,5,15
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-112-1,Lac du Bonnet,21000,,,20,5
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-113-0,Morden / Winkler,26000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-114-0,Brandon,53000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-115-0,Portage la Prairie,11000,,,25,28
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-116-0,Dauphin,39000,,,25,28
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-117-0,Creighton / Flin Flon,11000,,,5,15
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-117-1,Creighton / Flin Flon,1000,,,20,9
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-118-0,Thompson,26000,,,5,11
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-118-1,Thompson,6000,,,20,9
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-119-0,Estevan,23000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-120-0,Weyburn,12000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-121-0,Moose Jaw,28000,,,25,26
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-122-0,Swift Current,24000,,,25,28
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-123-0,Yorkton,32000,,,25,28
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-124-0,Regina,169000,,,25,25
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-125-0,Saskatoon,199000,,,25,25
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-126-0,Watrous,14000,,,25,29
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-127-0,Battleford,51000,,,25,26
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-128-0,Prince Albert,67000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-129-0,Lloydminster,19000,,,25,23
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-130-0,Northern Saskatchewan,19000,,,5,20
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-130-1,Northern Saskatchewan,4000,,,20,7
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-131-0,Medicine Hat / Brooks,55000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-132-0,Lethbridge,123000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-133-0,Stettler / Oyen / Wainwright,26000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-134-0,High River,61000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-135-0,Strathmore,23000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-136-0,Calgary,1417000,,,25,22
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-137-0,Red Deer,134000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-138-0,Wetaskiwin / Ponoka,28000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-139-0,Camrose,20000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-140-0,Vegreville,8000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-141-0,Edmonton,1326000,,,25,22
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-142-0,Edson / Hinton,25000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-143-0,Bonnyville,43000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-144-0,Whitecourt,17000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-145-0,Barrhead,12000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-146-0,Fort McMurray,38000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-147-0,Peace River,44000,,,5,15
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-147-1,Peace River,28000,,,20,3
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-148-0,Grande Prairie,56000,,,25,28
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-149-0,East Kootenay,31000,,,25,20
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-150-0,West Kootenay,40000,,,25,20
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-151-0,Kelowna,236000,,,25,20
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-152-0,Vancouver,6337000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-153-0,Hope,13000,,,25,16
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-154-0,Victoria,298000,,,25,20
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-155-0,Nanaimo,127000,,,25,20
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-156-0,Courtenay,61000,,,5,13
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-156-1,Courtenay,12000,,,20,9
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-157-0,Powell River,14000,,,5,13
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-157-1,Powell River,2000,,,20,10
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-158-0,Squamish / Whistler,38000,,,25,23
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-159-0,Merritt,8000,,,25,15
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-160-0,Kamloops,70000,,,25,20
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-161-0,Ashcroft,8000,,,5,13
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-161-1,Ashcroft,5000,,,20,4
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-162-0,Salmon Arm,26000,,,25,15
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-163-0,Golden,3000,,,25,16
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-164-0,Williams Lake,20000,,,5,13
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-164-1,Williams Lake,6000,,,20,4
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-165-0,Quesnel / Red Bluff,12000,,,5,9
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-165-1,Quesnel / Red Bluff,1000,,,20,6
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-166-0,Skeena,29000,,,5,9
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-166-1,Skeena,5000,,,20,9
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-167-0,Prince George,48000,,,25,20
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-168-0,Smithers,19000,,,5,10
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-168-1,Smithers,3000,,,20,11
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-169-0,Dawson Creek,35000,,,5,10
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-169-1,Dawson Creek,21000,,,20,0
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-170-0,Yukon,18000,,,5,11
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-170-1,Yukon,1000,,,20,14
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-171-0,Nunavut,18000,,,5,10
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-171-1,Nunavut,1000,,,20,9
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-172-0,Northwest Territories,21000,,,5,11
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-172-1,Northwest Territories,1000,,,20,18
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-001-0,St. John's,166000,183000,166000,25,24
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-002-0,Placentia,8000,8800,8800,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-003-0,Gander / Grand Falls / Windsor,74000,82000,82000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-004-0,Corner Brook / Stephenville,40000,44000,44000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-005-0,Labrador,14000,16000,16000,5,7
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-005-1,Labrador,2000,2200,2200,20,23
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-006-0,Charlottetown,49000,54000,49000,25,24
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-007-0,Summerside,24000,27000,24000,25,24
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-008-0,Yarmouth,28000,31000,28000,25,24
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-009-0,Bridgewater / Kentville,71000,79000,79000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-010-0,Halifax,283000,312000,283000,25,20
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-011-0,Truro,29000,32000,32000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-012-0,Amherst,17000,19000,17000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-013-0,Antigonish / New Glasgow,36000,40000,40000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-014-0,Sydney,67000,74000,67000,25,24
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-015-0,Saint John,93000,103000,103000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-016-0,St. Stephen,13000,15000,15000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-017-0,Fredericton,107000,118000,118000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-018-0,Moncton,116000,128000,128000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-019-0,Miramichi / Bathurst,80000,88000,88000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-020-0,Grand Falls,13000,15000,15000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-021-0,Edmundston,14000,16000,16000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-022-0,Campbellton,14000,16000,16000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-023-0,Matane,57000,63000,57000,25,20
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-024-0,Mont-Joli,19000,21000,19000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-025-0,Rimouski,29000,32000,29000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-026-0,Rivière-du-Loup,42000,47000,47000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-027-0,La Malbaie,14000,16000,14000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-028-0,Chicoutimi-Jonquière,142000,157000,157000,25,36
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-029-0,Montmagny,29000,32000,29000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-030-0,Québec,588000,647000,588000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-031-0,Sainte-Marie,27000,30000,27000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-032-0,Saint-Georges,36000,40000,36000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-033-0,Lac-Mégantic,12000,14000,12000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-034-0,Thetford Mines,21000,24000,24000,25,26
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-035-0,Plessisville,12000,14000,14000,25,27
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-036-0,La Tuque,8000,8800,8800,25,30
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-037-0,Trois-Rivières,172000,190000,172000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-038-0,Louiseville,11000,13000,11000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-039-0,Asbestos,15000,17000,15000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-040-0,Victoriaville,29000,32000,32000,25,35
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-041-0,Coaticook,7000,7700,7000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-042-0,Sherbrooke,163000,180000,163000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-043-0,Windsor,9000,9900,9900,25,30
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-044-0,Drummondville,73000,81000,81000,25,26
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-045-0,Cowansville,15000,17000,15000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-046-0,Farnham,15000,17000,15000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-047-0,Granby,54000,60000,60000,25,35
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-048-0,St-Hyacinthe,47000,52000,52000,25,26
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-049-0,Sorel,30000,33000,30000,25,25
2,Posted,2023-10-24 14:00:00,2023-10-24 17:00:00,4-050-0,Joliette,82000,91000,82000,25,24
