Round,Product Number,Service Area Name,Supply,Aggregate Demand,Company Name,Processed Demand,Requested Demand Change Applied?,Processed Demand Detail,Posted Price,Next Round Clock Price,Increment (%)
1,4-066-0,Chibougamau,5,14,Rogers,5,,,23000,26000,13.04
1,4-067-0,Cornwall,25,34,Rogers,4,,,36000,40000,11.11
1,4-068-0,Brockville,25,38,Rogers,6,,,36000,40000,11.11
1,4-069-0,Gananoque,25,43,Rogers,5,,,7000,7700,10
1,4-070-0,Kingston,25,35,Rogers,6,,,115000,127000,10.43
1,4-071-0,Napanee,25,39,Rogers,6,,,22000,25000,13.63
1,4-072-0,Belleville,25,40,Rogers,5,,,101000,112000,10.89
1,4-073-0,Cobourg,25,42,Rogers,6,,,33000,37000,12.12
1,4-074-0,Peterborough,25,37,Rogers,6,,,108000,119000,10.18
1,4-075-0,Lindsay,25,28,Rogers,6,,,23000,26000,13.04
1,4-076-0,Minden,25,22,Rogers,6,,,11000,13000,18.18
1,4-077-0,Toronto,25,27,Rogers,3,,,16311000,17943000,10
1,4-078-0,Alliston,25,36,Rogers,6,,,66000,73000,10.6
1,4-079-0,Guelph / Kitchener,25,26,Rogers,4,,,460000,506000,10
1,4-080-0,Fergus,25,36,Rogers,5,,,15000,17000,13.33
1,4-081-0,Kincardine,5,29,Rogers,5,,,95000,105000,10.52
1,4-082-0,Listowel / Goderich,25,32,Rogers,5,,,43000,48000,11.62
1,4-083-0,Fort Erie,25,23,Rogers,5,,,16000,18000,12.5
1,4-084-0,Niagara / St. Catharines,25,28,Rogers,6,,,227000,250000,10.13
1,4-085-0,Haldimand / Dunnville,25,27,Rogers,1,,,19000,21000,10.52
1,4-086-0,London / Woodstock / St. Thomas,25,27,Rogers,4,,,441000,486000,10.2
1,4-087-0,Brantford,25,29,Rogers,2,,,90000,99000,10
1,4-088-0,Stratford,25,27,Rogers,5,,,26000,29000,11.53
1,4-089-0,Chatham,25,34,Rogers,6,,,35000,39000,11.42
1,4-090-0,Windsor / Leamington,25,32,Rogers,4,,,261000,288000,10.34
1,4-091-0,Wallaceburg,25,27,Rogers,6,,,16000,18000,12.5
1,4-092-0,Sarnia,25,39,Rogers,4,,,63000,70000,11.11
1,4-093-0,Strathroy,25,25,Rogers,6,,,24000,27000,12.5
1,4-094-0,Barrie,25,25,Rogers,4,,,229000,252000,10.04
1,4-095-0,Midland,25,28,Rogers,5,,,25000,28000,12
1,4-096-0,Gravenhurst / Bracebridge,25,21,Rogers,6,,,32000,36000,12.5
1,4-097-0,North Bay,5,19,Rogers,5,,,53000,59000,11.32
1,4-098-0,Parry Sound,5,15,Rogers,5,,,11000,13000,18.18
1,4-099-0,Elliot Lake,25,19,Rogers,5,,,15000,17000,13.33
1,4-100-0,Sudbury,25,28,Rogers,5,,,116000,128000,10.34
1,4-101-0,Kirkland Lake,25,24,Rogers,4,,,17000,19000,11.76
1,4-102-0,Timmins,25,28,Rogers,4,,,21000,24000,14.28
1,4-103-0,Kapuskasing,5,9,Rogers,4,,,19000,21000,10.52
1,4-104-0,Kenora / Sioux Lookout,5,18,Rogers,5,,,33000,37000,12.12
1,4-105-0,Iron Bridge,5,17,Rogers,5,,,10000,11000,10
1,4-106-0,Sault Ste. Marie,25,15,Rogers,4,,,41000,46000,12.19
1,4-107-0,Marathon,5,20,Rogers,5,,,13000,15000,15.38
1,4-108-0,Thunder Bay,5,20,Rogers,5,,,79000,87000,10.12
1,4-109-0,Fort Frances,5,20,Rogers,5,,,10000,11000,10
1,4-110-0,Steinbach,25,30,Rogers,5,,,33000,37000,12.12
1,4-111-0,Winnipeg,25,22,Rogers,6,,,540000,594000,10
1,4-112-0,Lac du Bonnet,5,15,Rogers,5,,,30000,33000,10
1,4-113-0,Morden / Winkler,25,21,Rogers,6,,,26000,29000,11.53
1,4-114-0,Brandon,25,21,Rogers,6,,,53000,59000,11.32
1,4-115-0,Portage la Prairie,25,28,Rogers,5,,,11000,13000,18.18
1,4-116-0,Dauphin,25,28,Rogers,6,,,39000,43000,10.25
1,4-117-0,Creighton / Flin Flon,5,15,Rogers,5,,,11000,13000,18.18
1,4-118-0,Thompson,5,11,Rogers,1,,,26000,29000,11.53
1,4-119-0,Estevan,25,27,Rogers,7,,,23000,26000,13.04
1,4-120-0,Weyburn,25,27,Rogers,7,,,12000,14000,16.66
1,4-121-0,Moose Jaw,25,26,Rogers,4,,,28000,31000,10.71
1,4-122-0,Swift Current,25,28,Rogers,6,,,24000,27000,12.5
1,4-123-0,Yorkton,25,28,Rogers,6,,,32000,36000,12.5
1,4-124-0,Regina,25,25,Rogers,5,,,169000,186000,10.05
1,4-125-0,Saskatoon,25,25,Rogers,5,,,199000,219000,10.05
1,4-126-0,Watrous,25,29,Rogers,5,,,14000,16000,14.28
1,4-127-0,Battleford,25,26,Rogers,5,,,51000,57000,11.76
1,4-128-0,Prince Albert,25,27,Rogers,5,,,67000,74000,10.44
1,4-129-0,Lloydminster,25,23,Rogers,7,,,19000,21000,10.52
1,4-130-0,Northern Saskatchewan,5,20,Rogers,5,,,19000,21000,10.52
1,4-131-0,Medicine Hat / Brooks,25,21,Rogers,6,,,55000,61000,10.9
1,4-132-0,Lethbridge,25,21,Rogers,6,,,123000,136000,10.56
1,4-133-0,Stettler / Oyen / Wainwright,25,21,Rogers,6,,,26000,29000,11.53
1,4-134-0,High River,25,21,Rogers,6,,,61000,68000,11.47
1,4-135-0,Strathmore,25,21,Rogers,6,,,23000,26000,13.04
1,4-136-0,Calgary,25,22,Rogers,2,,,1417000,1559000,10.02
1,4-137-0,Red Deer,25,21,Rogers,6,,,134000,148000,10.44
1,4-138-0,Wetaskiwin / Ponoka,25,21,Rogers,6,,,28000,31000,10.71
1,4-139-0,Camrose,25,21,Rogers,6,,,20000,22000,10
1,4-140-0,Vegreville,25,21,Rogers,6,,,8000,8800,10
1,4-141-0,Edmonton,25,22,Rogers,7,,,1326000,1459000,10.03
1,4-142-0,Edson / Hinton,25,21,Rogers,6,,,25000,28000,12
1,4-143-0,Bonnyville,25,21,Rogers,6,,,43000,48000,11.62
1,4-144-0,Whitecourt,25,21,Rogers,6,,,17000,19000,11.76
1,4-145-0,Barrhead,25,21,Rogers,6,,,12000,14000,16.66
1,4-146-0,Fort McMurray,25,21,Rogers,6,,,38000,42000,10.52
1,4-147-0,Peace River,5,15,Rogers,5,,,44000,49000,11.36
1,4-148-0,Grande Prairie,25,28,Rogers,6,,,56000,62000,10.71
1,4-149-0,East Kootenay,25,20,Rogers,1,,,31000,35000,12.9
1,4-150-0,West Kootenay,25,20,Rogers,3,,,40000,44000,10
1,4-151-0,Kelowna,25,20,Rogers,1,,,236000,260000,10.16
1,4-152-0,Vancouver,25,21,Rogers,3,,,6337000,6971000,10
1,4-153-0,Hope,25,16,Rogers,2,,,13000,15000,15.38
1,4-154-0,Victoria,25,20,Rogers,3,,,298000,328000,10.06
1,4-155-0,Nanaimo,25,20,Rogers,3,,,127000,140000,10.23
1,4-156-0,Courtenay,5,13,Rogers,3,,,61000,68000,11.47
1,4-157-0,Powell River,5,13,Rogers,2,,,14000,16000,14.28
1,4-158-0,Squamish / Whistler,25,23,Rogers,2,,,38000,42000,10.52
1,4-159-0,Merritt,25,15,Rogers,4,,,8000,8800,10
1,4-160-0,Kamloops,25,20,Rogers,1,,,70000,77000,10
1,4-161-0,Ashcroft,5,13,Rogers,4,,,8000,8800,10
1,4-162-0,Salmon Arm,25,15,Rogers,1,,,26000,29000,11.53
1,4-163-0,Golden,25,16,Rogers,1,,,3000,3300,10
1,4-164-0,Williams Lake,5,13,Rogers,4,,,20000,22000,10
1,4-165-0,Quesnel / Red Bluff,5,9,Rogers,4,,,12000,14000,16.66
1,4-166-0,Skeena,5,9,Rogers,3,,,29000,32000,10.34
1,4-167-0,Prince George,25,20,Rogers,4,,,48000,53000,10.41
1,4-168-0,Smithers,5,10,Rogers,4,,,19000,21000,10.52
1,4-169-0,Dawson Creek,5,10,Rogers,4,,,35000,39000,11.42
1,4-170-0,Yukon,5,11,Rogers,5,,,18000,20000,11.11
1,4-171-0,Nunavut,5,10,Rogers,5,,,18000,20000,11.11
1,4-172-0,Northwest Territories,5,11,Rogers,5,,,21000,24000,14.28
1,4-076-0,Minden,25,22,Indigitel,1,,,11000,13000,18.18
1,4-153-0,Hope,25,16,Indigitel,1,,,13000,15000,15.38
1,4-092-0,Sarnia,25,39,Brooke Telecom,2,,,63000,70000,11.11
1,4-039-0,Asbestos,25,27,Cooptel,1,,,15000,17000,13.33
1,4-043-0,Windsor,25,31,Cooptel,3,,,9000,9900,10
1,4-044-0,Drummondville,25,23,Cooptel,3,,,73000,81000,10.95
1,4-048-0,St-Hyacinthe,25,23,Cooptel,3,,,47000,52000,10.63
1,4-069-0,Gananoque,25,43,Kingston Online,4,,,7000,7700,10
1,4-071-0,Napanee,25,39,Kingston Online,4,,,22000,25000,13.63
1,4-083-0,Fort Erie,25,23,NWIC,2,,,16000,18000,12.5
1,4-085-0,Haldimand / Dunnville,25,27,NWIC,2,,,19000,21000,10.52
1,4-081-0,Kincardine,5,29,Bruce Telecom,4,,,95000,105000,10.52
1,4-081-1,Kincardine,20,16,Bruce Telecom,4,,,55000,61000,10.9
1,4-121-0,Moose Jaw,25,26,SaskTel,5,,,28000,31000,10.71
1,4-122-0,Swift Current,25,28,SaskTel,5,,,24000,27000,12.5
1,4-123-0,Yorkton,25,28,SaskTel,5,,,32000,36000,12.5
1,4-124-0,Regina,25,25,SaskTel,5,,,169000,186000,10.05
1,4-125-0,Saskatoon,25,25,SaskTel,5,,,199000,219000,10.05
1,4-126-0,Watrous,25,29,SaskTel,5,,,14000,16000,14.28
1,4-127-0,Battleford,25,26,SaskTel,5,,,51000,57000,11.76
1,4-128-0,Prince Albert,25,27,SaskTel,5,,,67000,74000,10.44
1,4-130-0,Northern Saskatchewan,5,20,SaskTel,5,,,19000,21000,10.52
1,4-158-0,Squamish / Whistler,25,23,ABC Internet,5,,,38000,42000,10.52
1,4-161-1,Ashcroft,20,4,ABC Internet,4,,,5000,5500,10
1,4-164-1,Williams Lake,20,4,ABC Internet,4,,,6000,6600,10
1,4-005-1,Labrador,20,10,Ecotel,5,,,2000,2200,10
1,4-036-0,La Tuque,25,30,Ecotel,8,,,8000,8800,10
1,4-061-1,Amos,20,7,Ecotel,2,,,4000,4400,10
1,4-062-1,Val-d'Or,20,10,Ecotel,5,,,1000,1100,10
1,4-066-1,Chibougamau,20,9,Ecotel,4,,,2000,2200,10
1,4-102-0,Timmins,25,28,Ecotel,4,,,21000,24000,14.28
1,4-104-1,Kenora / Sioux Lookout,20,9,Ecotel,4,,,4000,4400,10
1,4-105-1,Iron Bridge,20,10,Ecotel,2,,,6000,6600,10
1,4-107-1,Marathon,20,9,Ecotel,4,,,3000,3300,10
1,4-117-1,Creighton / Flin Flon,20,9,Ecotel,4,,,1000,1100,10
1,4-118-1,Thompson,20,9,Ecotel,4,,,6000,6600,10
1,4-126-0,Watrous,25,29,Ecotel,2,,,14000,16000,14.28
1,4-130-1,Northern Saskatchewan,20,7,Ecotel,2,,,4000,4400,10
1,4-168-1,Smithers,20,11,Ecotel,2,,,3000,3300,10
1,4-171-1,Nunavut,20,9,Ecotel,4,,,1000,1100,10
1,4-172-1,Northwest Territories,20,18,Ecotel,4,,,1000,1100,10
1,4-091-0,Wallaceburg,25,27,MPVWIFI,1,,,16000,18000,12.5
1,4-163-0,Golden,25,16,MPVWIFI,1,,,3000,3300,10
1,4-001-0,St. John's,25,24,Bragg,7,,,166000,183000,10.24
1,4-002-0,Placentia,25,27,Bragg,10,,,8000,8800,10
1,4-003-0,Gander / Grand Falls / Windsor,25,27,Bragg,10,,,74000,82000,10.81
1,4-004-0,Corner Brook / Stephenville,25,27,Bragg,10,,,40000,44000,10
1,4-005-0,Labrador,5,17,Bragg,5,,,14000,16000,14.28
1,4-006-0,Charlottetown,25,24,Bragg,7,,,49000,54000,10.2
1,4-007-0,Summerside,25,24,Bragg,7,,,24000,27000,12.5
1,4-008-0,Yarmouth,25,24,Bragg,7,,,28000,31000,10.71
1,4-009-0,Bridgewater / Kentville,25,27,Bragg,7,,,71000,79000,11.26
1,4-010-0,Halifax,25,20,Bragg,5,,,283000,312000,10.24
1,4-011-0,Truro,25,27,Bragg,7,,,29000,32000,10.34
1,4-012-0,Amherst,25,25,Bragg,8,,,17000,19000,11.76
1,4-013-0,Antigonish / New Glasgow,25,27,Bragg,7,,,36000,40000,11.11
1,4-014-0,Sydney,25,24,Bragg,7,,,67000,74000,10.44
1,4-015-0,Saint John,25,29,Bragg,8,,,93000,103000,10.75
1,4-016-0,St. Stephen,25,31,Bragg,10,,,13000,15000,15.38
1,4-017-0,Fredericton,25,29,Bragg,8,,,107000,118000,10.28
1,4-018-0,Moncton,25,29,Bragg,8,,,116000,128000,10.34
1,4-019-0,Miramichi / Bathurst,25,29,Bragg,8,,,80000,88000,10
1,4-020-0,Grand Falls,25,29,Bragg,8,,,13000,15000,15.38
1,4-021-0,Edmundston,25,26,Bragg,10,,,14000,16000,14.28
1,4-022-0,Campbellton,25,29,Bragg,8,,,14000,16000,14.28
1,4-100-0,Sudbury,25,28,Bragg,8,,,116000,128000,10.34
1,4-101-0,Kirkland Lake,25,24,Bragg,10,,,17000,19000,11.76
1,4-102-0,Timmins,25,28,Bragg,10,,,21000,24000,14.28
1,4-148-0,Grande Prairie,25,28,Bragg,7,,,56000,62000,10.71
1,4-025-0,Rimouski,25,24,Elite General,3,,,29000,32000,10.34
1,4-028-0,Chicoutimi-Jonquière,25,36,Elite General,10,,,142000,157000,10.56
1,4-030-0,Québec,25,25,Elite General,2,,,588000,647000,10.03
1,4-048-0,St-Hyacinthe,25,23,Elite General,3,,,47000,52000,10.63
1,4-051-0,Montréal,25,25,Elite General,5,,,10097000,11107000,10
1,4-055-0,Ottawa,25,22,Elite General,2,,,1453000,1599000,10.04
1,4-056-0,Pembroke,25,38,Elite General,10,,,42000,47000,11.9
1,4-067-0,Cornwall,25,34,Elite General,8,,,36000,40000,11.11
1,4-068-0,Brockville,25,38,Elite General,9,,,36000,40000,11.11
1,4-070-0,Kingston,25,35,Elite General,8,,,115000,127000,10.43
1,4-072-0,Belleville,25,40,Elite General,9,,,101000,112000,10.89
1,4-073-0,Cobourg,25,42,Elite General,8,,,33000,37000,12.12
1,4-074-0,Peterborough,25,37,Elite General,8,,,108000,119000,10.18
1,4-077-0,Toronto,25,27,Elite General,4,,,16311000,17943000,10
1,4-079-0,Guelph / Kitchener,25,26,Elite General,2,,,460000,506000,10
1,4-084-0,Niagara / St. Catharines,25,28,Elite General,7,,,227000,250000,10.13
1,4-089-0,Chatham,25,34,Elite General,8,,,35000,39000,11.42
1,4-090-0,Windsor / Leamington,25,32,Elite General,7,,,261000,288000,10.34
1,4-092-0,Sarnia,25,39,Elite General,7,,,63000,70000,11.11
1,4-097-0,North Bay,5,19,Elite General,5,,,53000,59000,11.32
1,4-001-0,St. John's,25,24,TELUS,10,,,166000,183000,10.24
1,4-002-0,Placentia,25,27,TELUS,10,,,8000,8800,10
1,4-003-0,Gander / Grand Falls / Windsor,25,27,TELUS,10,,,74000,82000,10.81
1,4-004-0,Corner Brook / Stephenville,25,27,TELUS,10,,,40000,44000,10
1,4-005-0,Labrador,5,17,TELUS,5,,,14000,16000,14.28
1,4-005-1,Labrador,20,10,TELUS,5,,,2000,2200,10
1,4-006-0,Charlottetown,25,24,TELUS,10,,,49000,54000,10.2
1,4-007-0,Summerside,25,24,TELUS,10,,,24000,27000,12.5
1,4-008-0,Yarmouth,25,24,TELUS,10,,,28000,31000,10.71
1,4-009-0,Bridgewater / Kentville,25,27,TELUS,10,,,71000,79000,11.26
1,4-010-0,Halifax,25,20,TELUS,10,,,283000,312000,10.24
1,4-011-0,Truro,25,27,TELUS,10,,,29000,32000,10.34
1,4-012-0,Amherst,25,25,TELUS,10,,,17000,19000,11.76
1,4-013-0,Antigonish / New Glasgow,25,27,TELUS,10,,,36000,40000,11.11
1,4-014-0,Sydney,25,24,TELUS,10,,,67000,74000,10.44
1,4-015-0,Saint John,25,29,TELUS,10,,,93000,103000,10.75
1,4-016-0,St. Stephen,25,31,TELUS,10,,,13000,15000,15.38
1,4-017-0,Fredericton,25,29,TELUS,10,,,107000,118000,10.28
1,4-018-0,Moncton,25,29,TELUS,10,,,116000,128000,10.34
1,4-019-0,Miramichi / Bathurst,25,29,TELUS,10,,,80000,88000,10
1,4-020-0,Grand Falls,25,29,TELUS,10,,,13000,15000,15.38
1,4-021-0,Edmundston,25,26,TELUS,10,,,14000,16000,14.28
1,4-022-0,Campbellton,25,29,TELUS,10,,,14000,16000,14.28
1,4-023-0,Matane,25,15,TELUS,5,,,57000,63000,10.52
1,4-024-0,Mont-Joli,25,21,TELUS,8,,,19000,21000,10.52
1,4-025-0,Rimouski,25,24,TELUS,8,,,29000,32000,10.34
1,4-026-0,Rivière-du-Loup,25,28,TELUS,10,,,42000,47000,11.9
1,4-027-0,La Malbaie,25,21,TELUS,8,,,14000,16000,14.28
1,4-028-0,Chicoutimi-Jonquière,25,36,TELUS,10,,,142000,157000,10.56
1,4-029-0,Montmagny,25,26,TELUS,8,,,29000,32000,10.34
1,4-030-0,Québec,25,25,TELUS,6,,,588000,647000,10.03
1,4-031-0,Sainte-Marie,25,26,TELUS,8,,,27000,30000,11.11
1,4-032-0,Saint-Georges,25,26,TELUS,8,,,36000,40000,11.11
1,4-033-0,Lac-Mégantic,25,25,TELUS,10,,,12000,14000,16.66
1,4-034-0,Thetford Mines,25,24,TELUS,10,,,21000,24000,14.28
1,4-035-0,Plessisville,25,23,TELUS,10,,,12000,14000,16.66
1,4-036-0,La Tuque,25,30,TELUS,10,,,8000,8800,10
1,4-037-0,Trois-Rivières,25,17,TELUS,10,,,172000,190000,10.46
1,4-038-0,Louiseville,25,26,TELUS,10,,,11000,13000,18.18
1,4-039-0,Asbestos,25,27,TELUS,10,,,15000,17000,13.33
1,4-040-0,Victoriaville,25,26,TELUS,10,,,29000,32000,10.34
1,4-041-0,Coaticook,25,22,TELUS,10,,,7000,7700,10
1,4-042-0,Sherbrooke,25,22,TELUS,10,,,163000,180000,10.42
1,4-043-0,Windsor,25,31,TELUS,10,,,9000,9900,10
1,4-044-0,Drummondville,25,23,TELUS,10,,,73000,81000,10.95
1,4-045-0,Cowansville,25,25,TELUS,10,,,15000,17000,13.33
1,4-046-0,Farnham,25,22,TELUS,10,,,15000,17000,13.33
1,4-047-0,Granby,25,25,TELUS,10,,,54000,60000,11.11
1,4-048-0,St-Hyacinthe,25,23,TELUS,10,,,47000,52000,10.63
1,4-049-0,Sorel,25,21,TELUS,10,,,30000,33000,10
1,4-050-0,Joliette,25,17,TELUS,6,,,82000,91000,10.97
1,4-051-0,Montréal,25,25,TELUS,7,,,10097000,11107000,10
1,4-052-0,Sainte-Agathe-des-Monts,25,27,TELUS,10,,,39000,43000,10.25
1,4-053-0,Hawkesbury,25,28,TELUS,10,,,33000,37000,12.12
1,4-054-0,Mont-Laurier / Maniwaki,25,25,TELUS,10,,,25000,28000,12
1,4-055-0,Ottawa,25,22,TELUS,5,,,1453000,1599000,10.04
1,4-056-0,Pembroke,25,38,TELUS,10,,,42000,47000,11.9
1,4-057-0,Arnprior / Renfrew,25,21,TELUS,10,,,16000,18000,12.5
1,4-058-0,Rouyn-Noranda,25,26,TELUS,10,,,22000,25000,13.63
1,4-059-0,Notre-Dame-du-Nord,25,25,TELUS,10,,,8000,8800,10
1,4-060-0,La Sarre,25,27,TELUS,10,,,10000,11000,10
1,4-061-0,Amos,5,15,TELUS,5,,,13000,15000,15.38
1,4-061-1,Amos,20,7,TELUS,5,,,4000,4400,10
1,4-062-0,Val-d'Or,5,14,TELUS,5,,,23000,26000,13.04
1,4-062-1,Val-d'Or,20,10,TELUS,5,,,1000,1100,10
1,4-063-0,Roberval / Saint-Félicien,25,26,TELUS,10,,,30000,33000,10
1,4-064-0,Baie-Comeau,25,21,TELUS,8,,,22000,25000,13.63
1,4-065-0,Port-Cartier / Sept-Îles,25,26,TELUS,6,,,24000,27000,12.5
1,4-066-0,Chibougamau,5,14,TELUS,5,,,23000,26000,13.04
1,4-066-1,Chibougamau,20,9,TELUS,5,,,2000,2200,10
1,4-067-0,Cornwall,25,34,TELUS,10,,,36000,40000,11.11
1,4-068-0,Brockville,25,38,TELUS,10,,,36000,40000,11.11
1,4-069-0,Gananoque,25,43,TELUS,10,,,7000,7700,10
1,4-070-0,Kingston,25,35,TELUS,10,,,115000,127000,10.43
1,4-071-0,Napanee,25,39,TELUS,10,,,22000,25000,13.63
